ProductID,Date,Price
920038,"[""19.01.2024",72489.60
920038,20.01.2024,73799.00
920038,21.01.2024,71216.04
920038,22.01.2024,73449.00
920038,23.01.2024,71932.00
920038,24.01.2024,71699.00
920038,25.01.2024,69995.80
920038,26.01.2024,69500.00
920038,27.01.2024,67999.00
920038,28.01.2024,67998.00
920038,29.01.2024,67999.00
920038,30.01.2024,68949.00
920038,31.01.2024,68425.50
920038,01.02.2024,68425.50
920038,02.02.2024,68999.00
920038,03.02.2024,69440.00
920038,04.02.2024,69440.00
920038,05.02.2024,67499.00
920038,06.02.2024,67499.00
920038,07.02.2024,68449.00
920038,08.02.2024,68000.00
920038,09.02.2024,66850.00
920038,10.02.2024,66850.00
920038,11.02.2024,67035.00
920038,12.02.2024,68799.00
920038,13.02.2024,68040.00
920038,14.02.2024,68384.03
920038,15.02.2024,68040.00
920038,16.02.2024,68879.00
920038,17.02.2024,68889.42
920038,18.02.2024,68889.42
920038,19.02.2024,68512.50
920038,20.02.2024,68869.00
920038,21.02.2024,68985.00
920038,22.02.2024,67899.00
920038,23.02.2024,67899.00
920038,24.02.2024,68869.00
920038,25.02.2024,68999.00
920038,26.02.2024,67199.00
920038,27.02.2024,67299.00
920038,28.02.2024,67299.00
920038,29.02.2024,67299.00
920038,01.03.2024,67139.00
920038,02.03.2024,67139.00
920038,03.03.2024,67139.00
920038,04.03.2024,67023.00
920038,05.03.2024,66222.06
920038,06.03.2024,66270.00
920038,07.03.2024,67839.00
920038,08.03.2024,67632.06
920038,09.03.2024,67491.06
920038,10.03.2024,67363.00
920038,11.03.2024,67286.24
920038,12.03.2024,63629.00
920038,13.03.2024,67581.00
920038,14.03.2024,67581.00
920038,16.03.2024,67787.00
920038,17.03.2024,67949.00
920038,18.03.2024,67900.00
920038,19.03.2024,67699.00
920038,20.03.2024,67399.00
920038,21.03.2024,67399.00
920038,22.03.2024,66499.00
920038,23.03.2024,65100.90
920038,24.03.2024,66999.00
920038,25.03.2024,60543.00
920038,26.03.2024,55999.00
920038,27.03.2024,57999.00
920038,28.03.2024,59999.00
920038,29.03.2024,66719.00
920038,30.03.2024,56999.00
920038,31.03.2024,57000.00
920038,01.04.2024,55999.00
920038,02.04.2024,58329.00
920038,03.04.2024,66425.00
920038,04.04.2024,65699.00
920038,05.04.2024,65799.87
920038,06.04.2024,53999.00
920038,07.04.2024,65718.00
920038,08.04.2024,65470.00
920038,10.04.2024,65877.47
920038,11.04.2024,65877.47
920038,12.04.2024,65877.47
920038,13.04.2024,65877.47
920038,14.04.2024,65877.47
920038,15.04.2024,65877.47
920038,16.04.2024,65999.00
920038,17.04.2024,54999.00
920038,18.04.2024,65198.20
920038,19.04.2024,66289.00
920038,20.04.2024,66599.00
920038,21.04.2024,66599.00
920038,22.04.2024,65799.00
920038,23.04.2024,65799.00
920038,24.04.2024,65997.00
920038,25.04.2024,64999.00
920038,26.04.2024,54999.00
920038,27.04.2024,64999.00
920038,28.04.2024,55999.00
920038,29.04.2024,55999.00
920038,30.04.2024,64999.00
920038,01.05.2024,64999.00
920038,02.05.2024,64999.00
920038,03.05.2024,61399.00
920038,04.05.2024,61399.00
920038,05.05.2024,66499.00
920038,06.05.2024,66499.00
920038,07.05.2024,66499.00
920038,08.05.2024,65999.00
