Product Name,Image
Apple iPhone 16 Pro 256GB,https://cdn.akakce.com/z/apple/iphone-16-pro.jpg
Apple iPhone 15 256GB,https://cdn.akakce.com/z/apple/iphone-15-256-gb.jpg
Apple iPhone 15 512GB,https://cdn.akakce.com/z/apple/apple-iphone-15-512-gb.jpg
Apple iPhone 15 Pro Max 512GB,https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 15 Pro Max 1000GB,https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 15 Plus 256GB,https://cdn.akakce.com/z/apple/iphone-15-plus-256-gb.jpg
Apple iPhone 15 Plus 512GB,https://cdn.akakce.com/z/apple/iphone-15-plus-512-gb.jpg
Apple iPhone 15 Pro 256GB,https://cdn.akakce.com/z/apple/apple-iphone-15-pro-256-gb.jpg
Apple iPhone 15 Pro 512GB,https://cdn.akakce.com/z/apple/iphone-15-pro-512-gb.jpg
Apple iPhone 15 Pro 1000GB,https://cdn.akakce.com/z/apple/iphone-16-pro-128-gb.jpg
Apple iPhone 16 256GB,https://cdn.akakce.com/z/apple/iphone-16-256-gb.jpg
Apple iPhone 16 512GB,https://cdn.akakce.com/z/apple/iphone-16-512-gb.jpg
Apple iPhone 16 Plus 256GB,https://cdn.akakce.com/z/apple/apple-iphone-16-plus-256-gb.jpg
Apple iPhone 16 Plus 512GB,https://cdn.akakce.com/z/apple/iphone-16-plus-512-gb.jpg
Apple iPhone 16 Pro Max 1000GB,https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 16 Pro Max 512GB,https://cdn.akakce.com/z/apple/apple-iphone-16-pro-max-512-gb.jpg
Apple iPhone 16 Pro 512GB,https://cdn.akakce.com/z/apple/iphone-16-pro-512-gb.jpg
Apple iPhone 16 Pro 1000GB,https://cdn.akakce.com/z/apple/iphone-16-pro-128-gb.jpg
Huawei P60 Pro 512GB,https://cdn.akakce.com/z/huawei/huawei-p60-pro-256-gb.jpg
Huawei nova 11 Pro 512GB,https://cdn.akakce.com/z/huawei/huawei-nova-13-pro.jpg
Huawei Pura 70 Pro 512GB,https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Huawei nova 12i 256GB,https://cdn.akakce.com/z/huawei/huawei-nova-12i.jpg
Huawei Pura 70 512GB,https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Huawei nova 11 256GB,https://cdn.akakce.com/z/huawei/huawei-nova-11.jpg
Huawei Pura 70 Ultra 1000GB,https://cdn.akakce.com/z/huawei/huawei-pura-70-ultra.jpg
Huawei Pura 70 Pro 1000GB,https://cdn.akakce.com/z/huawei/huawei-pura-70-pro.jpg
Oppo Reno10 256GB,https://cdn.akakce.com/z/oppo/oppo-reno-10-5g.jpg
Oppo Reno11 256GB,https://cdn.akakce.com/z/oppo/oppo-reno-11f.jpg
Realme C51 128GB,https://cdn.akakce.com/z/realme/realme-c51.jpg
Realme C61 256GB,https://iis-akakce.akamaized.net/p.z?%2F%2Fcdn%2Eevkur%2Ecom%2Etr%2Fc%2FProduct%2Frealme%2Dc61%2D8%2D256gb%2Dakilli%2Dtelefon%2Dkoyu%2Dyesil%5Fj7g9hw%2Ejpg
Realme 12 Pro 256GB,https://cdn.akakce.com/z/realme/realme-12-pro.jpg
Realme 12 Pro+ 256GB,https://cdn.akakce.com/z/realme/realme-12-pro.jpg
Realme C65 128GB,https://cdn.akakce.com/z/realme/realme-c65-128-gb-8-gb.jpg
Realme 12+ 256GB,https://cdn.akakce.com/z/realme/realme-12.jpg
Realme C55 256GB,https://cdn.akakce.com/z/realme/realme-c55-256-gb.jpg
Realme 11 Pro 256GB,https://cdn.akakce.com/z/realme/realme-11-pro.jpg
Realme C53 256GB,https://iis-akakce.akamaized.net/p.z?%2F%2Freimg%2Dteknosa%2Dcloud%2Dprod%2Emncdn%2Ecom%2Fmnresize%2F300%2F300%2Fproductimage%2F125079587%2F125079587%5F0%5FMC%2F90520038%2Ejpg%3Fimg%3D125079587
Realme 11 Pro+ 256GB,https://cdn.akakce.com/z/realme/realme-11-pro.jpg
Realme 11 256GB,https://cdn.akakce.com/z/realme/realme-11.jpg
Samsung Galaxy A05 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a05.jpg
Samsung Galaxy A05s 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a05s.jpg
Samsung Galaxy Tab S9 FE 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-tab-s9-fe-sm-x510-256-gb-10-9.jpg
Samsung Galaxy S23 FE 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-fe-256-gb.jpg
Samsung Galaxy Z Flip5 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-z-flip-5.jpg
Samsung Galaxy A15 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-128-gb-6-gb.jpg
Samsung Galaxy S24 Ultra 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy S24 Ultra 1000GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy S24+ 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy A35 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a35.jpg
Samsung Galaxy A35 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a35-256-gb.jpg
Samsung Galaxy A55 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a55-256-gb.jpg
Samsung Galaxy S24 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-256-gb.jpg
Samsung Galaxy S24 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy Z Flip6 512GB,https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F777%2F600%2F110000726118033%2Ejpg
Samsung Galaxy Z Fold6 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-z-fold-6-512-gb.jpg
Samsung Galaxy S24 FE 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s24-ultra.jpg
Samsung Galaxy A25 256GB,https://iis-akakce.akamaized.net/p.z?%2F%2Fsamsung%2Dakinon%2Ea%2Dcdn%2Eakinoncdn%2Ecom%2Fproducts%2F2024%2F01%2F09%2F20758%2F01cdb895%2Debdf%2D4447%2Db7be%2Df227cc63a17a%2Ejpg
Samsung Galaxy A15 5G 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-128-gb-6-gb.jpg
Samsung Galaxy A14 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a14.jpg
Samsung Galaxy S23 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-256-gb.jpg
Samsung Galaxy S23 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy S23+ 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy M15 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-m15.jpg
Samsung Galaxy A34 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a34.jpg
Samsung Galaxy S23 Ultra 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-256-gb.jpg
Samsung Galaxy S23 Ultra 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy S23 Ultra 1000GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-s23-ultra-512-gb.jpg
Samsung Galaxy A54 128GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a54.jpg
Samsung Galaxy A54 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a54-256-gb.jpg
Samsung Galaxy Z Fold5 512GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-z-fold-5.jpg
Samsung Galaxy A34 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a34-256-gb.jpg
Samsung Galaxy Tab S9 FE+ 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-tab-s9-fe-sm-x510-256-gb-10-9.jpg
Samsung Galaxy A15 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-256-gb-8-gb.jpg
Samsung Galaxy A15 5G 256GB,https://cdn.akakce.com/z/samsung/samsung-galaxy-a15-256-gb-8-gb.jpg
Tecno Spark 10 Pro 256GB,https://cdn.akakce.com/z/tecno/tecno-spark-10-pro.jpg
Tecno Pova 6 Pro 256GB,https://cdn.akakce.com/z/tecno/tecno-pova-6-pro.jpg
vivo V30 256GB,https://cdn.akakce.com/z/vivo/vivo-v30.jpg
vivo V29 256GB,https://cdn.akakce.com/z/vivo/vivo-v29.jpg
vivo V40 512GB,https://cdn.akakce.com/z/vivo/vivo-v40.jpg
vivo X100 512GB,https://cdn.akakce.com/z/vivo/vivo-x100-pro.jpg
vivo X100 256GB,https://cdn.akakce.com/z/vivo/vivo-x100-pro.jpg
vivo X100 Pro 256GB,https://cdn.akakce.com/z/vivo/vivo-x100-pro.jpg
Xiaomi Mix Flip 512GB,https://cdn.akakce.com/z/xiaomi/xiaomi-mi-mix-flip.jpg
Xiaomi Redmi A3 128GB,https://cdn.akakce.com/z/xiaomi/xiaomi-redmi-a3.jpg
Xiaomi 14 256GB,https://cdn.akakce.com/z/xiaomi/xiaomi-redmi-note-14.jpg
Xiaomi Redmi 12 128GB,https://cdn.akakce.com/z/xiaomi/xiaomi-redmi-12-128-gb-8-gb.jpg
Xiaomi 13 Ultra 512GB,https://cdn.akakce.com/z/xiaomi/xiaomi-14-ultra.jpg
Xiaomi 13T Pro 512GB,https://cdn.akakce.com/z/xiaomi/xiaomi-13t-pro.jpg
Xiaomi Redmi 13C 128GB,https://iis-akakce.akamaized.net/p.z?%2F%2Fn11scdn%2Eakamaized%2Enet%2Fa1%2F1024%2Felektronik%2Fcep%2Dtelefonu%2Fxiaomi%2Dredmi%2D13c%2D6%2Dgb%2D128%2Dgb%2Dxiaomi%2Dturkiye%2Dgarantili%5F%5F0200417381350599%2Ejpg
Xiaomi Poco X6 Pro 512GB,https://cdn.akakce.com/z/poco/poco-x7-pro-512-gb-12-gb.jpg
Xiaomi Redmi Note 13 256GB,https://cdn.akakce.com/z/xiaomi/xiaomi-redmi-note-13.jpg
Xiaomi Poco X6 512GB,https://cdn.akakce.com/z/poco/poco-x7-512-gb-12-gb.jpg
Xiaomi Poco X6 256GB,https://cdn.akakce.com/z/poco/poco-f5.jpg
Xiaomi Redmi Note 13 4G 128GB,https://cdn.akakce.com/z/xiaomi/xiaomi-redmi-note-14-128-gb.jpg
